ra,dec,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro
318.1704946,-42.5002021,60062.51215291,15.626,0.166,14.235,
318.1701317,-42.4999152,60062.77192244,16.19,0.302,14.801,0.296
318.1700092,-42.4995796,60062.77204976,15.971,0.2,14.819,
318.170262,-42.5000068,60225.61436922,14.696,0.088,14.616,0.249
318.1700506,-42.4998543,60225.74387181,15.412,0.156,14.935,0.451
318.1708475,-42.5003039,60226.26162748,16.846,0.445,14.616,0.25
318.1703428,-42.5004236,60226.32631512,15.896,0.212,14.942,0.466
318.1702574,-42.5001577,60226.58519293,15.106,0.106,14.74,0.317
318.1704292,-42.5003598,60226.71469551,15.232,0.123,14.946,0.345
318.1701108,-42.4998824,60425.88503627,15.992,0.296,15.18,0.447
318.1707415,-42.5002093,60426.33428507,16.174,0.288,14.561,0.299
318.1708525,-42.4999723,60426.39846343,15.491,0.188,14.309,0.189
318.1703112,-42.5001311,60426.46264174,14.674,0.099,13.969,0.153
318.170359,-42.4997806,60426.52682009,15.157,0.139,14.582,0.351
318.1705577,-42.5001166,60426.59099836,15.475,0.157,14.664,0.294
