MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57303.291913,-22.277,6.25,-4,28,o,0,1.61,322.90582,-36.39568,8923.51,7486.42,4.6,3.67,89.0,-0.48,18.69,20.33,02a57303o0083o
57303.308501,-18.919,0.281,-98,28,o,0,1.06,322.90582,-36.39568,7455.25,8968.99,4.37,3.65,-80.2,-0.475,18.78,20.34,02a57303o0107o
57321.256918,-19.528,1.264,-56,71,o,0,1.36,322.90582,-36.39568,8998.22,7493.13,4.5,3.18,88.0,-0.473,17.74,18.36,02a57321o0112o
57321.273123,19.191,1.052,76,80,o,0,0.94,322.90582,-36.39568,9001.23,7497.5,4.41,3.12,89.6,-0.481,17.83,18.45,02a57321o0137o
57329.256117,-20.123,1.143,-32,37,o,0,1.25,322.90582,-36.39568,9063.42,7516.94,4.49,3.21,87.7,-0.481,18.45,19.93,02a57329o0093o
57333.247349,19.426,0.28,62,17,c,0,1.24,322.90582,-36.39568,9066.38,7520.1,4.05,3.75,81.6,-0.392,19.27,21.09,02a57333o0103c
57675.282371,-21.185,5.964,-12,73,o,0,0.91,322.90582,-36.39568,360.36,6758.69,3.9,3.7,55.0,-0.433,18.06,18.75,02a57675o0201o
57675.293734,-20.559,3.098,-22,67,o,0,1.42,322.90582,-36.39568,346.3,6720.24,3.87,3.59,53.2,-0.431,18.06,18.72,02a57675o0224o
57675.297691,19.101,1.254,83,104,o,0,1.03,322.90582,-36.39568,10248.32,6772.11,4.0,3.47,88.2,-0.456,18.04,18.67,02a57675o0232o
57675.309074,-19.768,2.514,-45,113,o,0,0.94,322.90582,-36.39568,10234.71,6733.9,3.97,3.42,-87.9,-0.468,18.03,18.65,02a57675o0255o
57679.27738,19.06,0.715,86,62,o,0,0.96,322.90582,-36.39568,759.01,8269.24,3.29,3.14,34.7,-0.511,18.39,19.21,02a57679o0189o
57687.269736,20.822,1.234,17,21,c,0,0.95,322.90582,-36.39568,10033.48,9022.63,3.76,3.4,-82.0,-0.41,19.26,20.9,02a57687o0165c
57691.264439,-20.546,0.963,-22,21,c,0,0.95,322.90582,-36.39568,8684.75,6752.27,4.2,3.85,85.1,-0.39,19.23,20.97,02a57691o0057c
57695.254421,-18.677,0.129,-123,16,c,0,1.51,322.90582,-36.39568,7327.89,5747.14,4.0,3.73,86.0,-0.382,19.28,21.0,02a57695o0149c
57695.267327,20.766,1.1,18,20,c,0,1.06,322.90582,-36.39568,7298.59,5707.36,3.92,3.66,86.9,-0.388,19.29,20.97,02a57695o0174c
57911.599123,-19.569,0.334,-54,18,o,0,1.11,322.90582,-36.39568,10118.58,3043.79,2.87,2.19,61.4,-0.49,18.96,19.7,02a57911o0673o
57911.601281,-21.155,1.508,-12,19,o,0,0.88,322.90582,-36.39568,225.55,3039.28,2.23,1.97,39.8,-0.5,18.97,19.68,02a57911o0677o
57911.608095,20.955,1.119,15,17,o,0,0.91,322.90582,-36.39568,240.93,3078.88,2.26,1.99,41.8,-0.463,19.05,19.86,02a57911o0690o
57911.61549,-21.958,4.25,-6,25,o,0,1.04,322.90582,-36.39568,10130.68,3087.64,3.07,2.49,58.8,-0.467,18.6,19.79,02a57911o0704o
57911.621628,20.002,1.252,36,45,o,0,1.32,322.90582,-36.39568,176.06,3000.69,2.26,2.04,41.9,-0.426,17.94,18.51,02a57911o0715o
57911.622815,18.834,0.676,106,72,o,0,1.02,322.90582,-36.39568,393.1,7447.38,2.24,2.04,6.2,-0.584,17.61,17.91,02a57911o0717o
57922.570519,-19.127,0.261,-81,21,o,0,1.02,322.90582,-36.39568,8711.03,7012.88,4.27,3.27,1.5,-0.398,18.79,20.1,01a57922o0666o
57922.583214,-21.23,1.429,-12,17,o,0,1.1,322.90582,-36.39568,1997.35,3386.31,3.46,3.06,2.4,-0.435,18.92,20.22,01a57922o0691o
57922.587318,-19.875,0.484,-41,20,o,0,1.17,322.90582,-36.39568,8726.4,6988.8,3.36,3.23,-21.8,-0.42,18.93,20.11,01a57922o0699o
57922.600372,-22.395,4.045,-4,16,o,0,0.95,322.90582,-36.39568,1921.4,3494.94,3.04,3.0,-14.4,-0.452,19.03,20.25,01a57922o0724o
57923.563913,18.505,2.431,144,350,o,0,1.55,322.90582,-36.39568,9904.15,3078.23,2.39,2.19,73.9,-0.469,15.32,16.04,02a57923o0638o
57923.56723,-16.065,0.78,-1361,1062,o,0,0.53,322.90582,-36.39568,41.69,3128.91,2.17,1.88,52.0,-0.46,15.15,15.69,02a57923o0644o
57923.576573,17.175,1.262,490,618,o,0,1.38,322.90582,-36.39568,9884.21,3197.54,2.34,2.24,76.4,-0.469,14.52,15.53,02a57923o0663o
57930.558052,23.512,18.5,1,26,o,0,0.98,322.90582,-36.39568,7960.96,6489.87,6.65,6.05,-6.4,-0.306,18.4,20.68,01a57930o0615o
57930.567109,-20.26,0.682,-29,20,o,0,1.04,322.90582,-36.39568,2731.42,3893.79,5.17,4.57,-10.0,-0.363,18.73,20.74,01a57930o0633o
57930.569076,-20.532,0.828,-22,18,o,0,1.13,322.90582,-36.39568,2669.48,3825.65,4.56,4.06,-19.2,-0.388,18.87,20.7,01a57930o0637o
57930.580853,21.987,3.4,6,20,o,0,0.92,322.90582,-36.39568,2667.43,3989.0,4.87,4.23,-14.4,-0.38,18.84,20.74,01a57930o0660o
57934.530474,-21.185,0.987,-12,12,o,0,1.67,322.90582,-36.39568,225.12,9200.08,2.8,2.47,-57.9,-0.512,19.26,20.69,01a57934o0596o
57934.535896,-23.655,12.333,-1,15,o,0,1.09,322.90582,-36.39568,209.3,9142.6,3.41,2.87,-11.6,-0.451,19.14,20.72,01a57934o0607o
57934.546965,-20.975,1.162,-15,17,o,0,0.83,322.90582,-36.39568,10424.11,1087.82,3.04,2.81,-55.4,-0.451,19.26,20.72,01a57934o0629o
57934.54916,22.039,2.643,6,15,o,0,1.11,322.90582,-36.39568,10140.12,9088.26,3.23,2.97,-73.4,-0.416,19.24,20.72,01a57934o0633o
57934.558731,21.155,1.031,12,13,o,0,1.4,322.90582,-36.39568,10403.35,1251.59,3.1,2.83,-48.2,-0.449,19.33,20.83,01a57934o0652o
57934.561677,-21.353,1.27,-10,13,o,0,1.08,322.90582,-36.39568,549.1,1313.89,2.84,2.66,87.5,-0.518,19.35,20.86,01a57934o0658o
57938.533578,-22.043,2.8,-6,16,o,0,0.91,322.90582,-36.39568,9771.24,9217.13,3.73,3.01,-55.5,-0.421,19.25,20.81,01a57938o0489o
57938.535542,-21.818,2.714,-7,18,o,0,0.8,322.90582,-36.39568,9737.44,9171.42,4.95,3.57,-13.0,-0.347,19.05,20.83,01a57938o0493o
57938.539497,-20.659,0.81,-20,16,o,0,1.15,322.90582,-36.39568,9799.01,9233.16,4.58,3.62,-17.9,-0.38,19.04,20.83,01a57938o0501o
57938.549409,-20.746,0.864,-18,16,o,0,1.05,322.90582,-36.39568,9824.03,9076.66,4.39,3.71,-18.6,-0.385,19.08,20.88,01a57938o0521o
57940.529058,-20.925,1.49,-16,23,o,0,1.2,322.90582,-36.39568,2266.65,4476.76,2.81,2.63,58.6,-0.46,18.62,19.43,02a57940o0521o
57940.538348,21.121,1.669,13,22,o,0,0.71,322.90582,-36.39568,2279.08,4515.41,2.27,2.11,57.6,-0.478,18.87,19.48,02a57940o0540o
57940.547676,21.609,1.966,8,16,o,0,1.23,322.90582,-36.39568,2229.55,4440.78,2.08,1.95,37.2,-0.485,18.9,19.63,02a57940o0559o
57940.557236,19.692,0.381,48,18,o,0,1.0,322.90582,-36.39568,2197.92,4554.8,2.05,1.86,25.1,-0.475,18.85,19.72,02a57940o0578o
57948.519261,23.041,6.957,2,15,o,0,1.34,322.90582,-36.39568,3140.26,4561.46,2.1,2.02,52.5,-0.47,18.91,19.66,02a57948o0557o
57948.528709,-21.466,2.08,-9,20,o,0,1.15,322.90582,-36.39568,7310.26,5848.41,2.18,2.13,-65.7,-0.478,18.89,19.45,02a57948o0576o
57948.543477,20.707,1.155,19,22,o,0,0.89,322.90582,-36.39568,7356.33,5923.35,2.13,2.09,13.9,-0.49,18.91,19.45,02a57948o0605o
57948.552252,20.529,0.784,22,18,o,0,1.23,322.90582,-36.39568,7391.16,5806.94,2.13,2.08,-61.6,-0.475,18.95,19.45,02a57948o0623o
57950.494504,-19.381,0.321,-64,21,o,0,1.24,322.90582,-36.39568,61.18,6381.58,3.67,2.74,86.2,-0.377,19.03,20.32,01a57950o0521o
