MasterID,Mag,Magerr,RA,Dec,MJD,Blend
3037130030560,18.144,0.238,322.90551,-36.39553,53587.60507,0
3037130030560,18.399,0.272,322.90560,-36.39561,53587.61416,0
3037130030560,18.333,0.263,322.90560,-36.39568,53587.62323,0
3037130030560,17.383,0.165,322.90563,-36.39560,53587.63201,0
3037130030560,18.269,0.292,322.90552,-36.39545,53597.50716,0
3037130030560,18.516,0.333,322.90556,-36.39552,53597.51592,0
3037130030560,19.011,0.440,322.90567,-36.39550,53597.52458,0
3037130030560,19.030,0.445,322.90595,-36.39538,53597.53344,0
3037130030560,18.627,0.310,322.90576,-36.39554,53606.64857,0
3037130030560,19.404,0.483,322.90567,-36.39563,53606.66504,0
3037130030560,18.502,0.293,322.90582,-36.39557,53606.68149,0
3037130030560,18.230,0.292,322.90558,-36.39546,53556.64376,0
3037130030560,18.108,0.270,322.90566,-36.39552,53556.65197,0
3037130030560,18.336,0.304,322.90561,-36.39554,53556.66027,0
3037130030560,17.133,0.168,322.90565,-36.39554,53556.66869,0
3037130030560,17.490,0.168,322.90557,-36.39563,53576.74520,0
3037130030560,18.427,0.285,322.90557,-36.39569,53576.75688,0
3037130030560,17.296,0.175,322.90550,-36.39559,53576.76852,0
3037130030560,18.027,0.272,322.90579,-36.39576,53576.78013,0
3037130030560,18.394,0.327,322.90597,-36.39576,53691.50235,0
3037130030560,18.917,0.503,322.90560,-36.39556,53651.53189,0
3037130030560,18.706,0.448,322.90575,-36.39560,53651.54823,0
3037130030560,18.911,0.503,322.90526,-36.39553,53651.55638,0
3037130030560,19.124,0.369,322.90567,-36.39565,53665.49697,0
3037130030560,18.842,0.316,322.90585,-36.39558,53665.50888,0
3037130030560,18.896,0.328,322.90574,-36.39569,53665.52080,0
3037130030560,18.880,0.369,322.90553,-36.39557,53619.48114,0
3037130030560,18.965,0.386,322.90553,-36.39542,53619.49333,0
3037130030560,18.864,0.364,322.90558,-36.39550,53619.50580,0
3037130030560,18.871,0.366,322.90565,-36.39582,53619.51815,0
3037130030560,19.018,0.330,322.90569,-36.39564,53636.62204,0
3037130030560,19.043,0.337,322.90568,-36.39558,53636.63539,0
3037130030560,18.967,0.328,322.90561,-36.39551,53636.64874,0
3037130030560,18.261,0.228,322.90566,-36.39568,53636.66210,0
3037130030560,18.734,0.244,322.90552,-36.39553,53960.63449,0
3037130030560,18.834,0.256,322.90561,-36.39558,53960.64791,0
3037130030560,19.133,0.302,322.90556,-36.39561,53960.66141,0
3037130030560,19.009,0.282,322.90579,-36.39576,53960.67483,0
