oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
1699114100008791,62547898,2458379.9806584995,58379.4789815,16.4440956,0.016719209,0,zg,64.163154,40.0425891,0.492000014,0.0250000004,20180918478970,1699,14.0,1.0,21.6200008,26.3071957,0.0260250028,-0.0688968897,1.10907467e-05,30,1.01199996,2
1699114100008791,63141109,2458385.9133004528,58385.4110995,16.2999458,0.0163964033,0,zg,64.1631545,40.042563,0.924000025,0.0439999998,20180924411088,1699,14.0,1.0,20.3799992,26.2778645,0.0427803621,-0.0576458611,3.11639524e-05,30,1.09000003,2
1699114100008791,63438628,2458388.8887409065,58388.3862847,16.3085403,0.0164138917,0,zg,64.1631393,40.0425707,0.501999974,0.0419999994,20180927386273,1699,14.0,1.0,20.4300003,26.2611752,0.0402425416,-0.0497030392,2.80903951e-05,30,1.13499999,2
1699114100008791,63543017,2458389.9327180292,58389.4301736,16.4558258,0.0167483557,0,zg,64.163151,40.0425754,0.573000014,0.00400000019,20180928430162,1699,14.0,1.0,20.0,26.1243801,0.0496226102,-0.0572588742,5.06456781e-05,30,1.03400004,2
1699114100008791,63638611,2458390.888735624,58390.3861111,16.5101662,0.0168893915,0,zg,64.1631374,40.0425853,0.920000017,0.0,20180929385914,1699,14.0,1.0,20.4400005,26.264761,0.039896477,-0.0424678735,2.63948441e-05,30,1.11899996,2
1699114100008791,66843436,2458422.9391642334,58422.4343634,16.5347557,0.0169565529,0,zg,64.1631335,40.0425917,0.91900003,0.0790000036,20181031434352,1699,14.0,1.0,20.6900005,26.2680168,0.0374787785,-0.0547330305,2.29081779e-05,30,1.02900004,2
1699114100008791,66943098,2458423.935832494,58423.4309838,16.4674568,0.0167777054,0,zg,64.1631585,40.0426216,0.423000008,0.00600000005,20181101430972,1699,14.0,1.0,20.4899998,26.3117809,0.0432404689,-0.0686118826,3.11994881e-05,30,1.028,2
1699114100008791,67235144,2458426.8564276164,58426.3514468,16.3901901,0.0165909883,0,zg,64.1631506,40.0425755,0.542999983,-0.00999999978,20181104351435,1699,14.0,1.0,21.5799999,26.1432152,0.0289931633,-0.0807300061,1.39631229e-05,30,1.01100004,2
1699114100008791,67330684,2458427.8118616403,58427.3068403,16.4500122,0.0167338569,0,zg,64.1631404,40.0425511,0.973999977,-0.0149999997,20181105306840,1699,14.0,1.0,19.2600002,25.7763939,0.0533974245,-0.0388967767,0.000101559752,30,1.06700003,2
1699114100008791,67630321,2458430.8083572737,58430.3032176,16.4364853,0.0167005416,0,zg,64.1631389,40.0425736,0.708000004,0.00100000005,20181108303206,1699,14.0,1.0,21.8199997,26.3215504,0.0284591503,-0.0969893038,1.34928287e-05,30,1.05799997,2
