MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58771.478799,-20.454,2.251,-24,54,o,0,1.5,2.87006,35.973,8116.61,8034.59,2.29,2.23,86.2,-0.446,18.52,18.87,02a58771o0605o
58771.488576,-18.707,0.371,-120,44,o,0,0.81,2.87006,35.973,8134.69,7917.02,2.19,2.1,57.6,-0.45,18.54,18.83,02a58771o0625o
58773.439992,22.681,4.744,3,15,o,0,1.11,2.87006,35.973,2481.39,4527.81,2.13,1.76,83.1,-0.431,19.22,19.7,01a58773o0520o
58773.450601,-19.834,0.316,-42,13,o,0,1.84,2.87006,35.973,2502.15,4564.95,2.17,1.83,83.6,-0.431,19.18,19.62,01a58773o0542o
58773.45626,-19.215,0.15,-75,11,o,0,1.71,2.87006,35.973,2444.14,4486.46,2.16,1.82,81.7,-0.428,19.18,19.61,01a58773o0553o
58773.459558,-19.989,0.44,-37,16,o,0,0.99,2.87006,35.973,2425.56,4602.18,2.36,1.93,84.2,-0.422,19.07,19.6,01a58773o0560o
58774.372772,22.051,2.265,6,12,o,0,0.9,2.87006,35.973,2478.35,4537.3,2.18,1.79,75.6,-0.427,19.41,20.2,01a58774o0413o
58774.375996,21.781,1.534,7,11,o,0,1.54,2.87006,35.973,2498.56,4575.82,2.15,1.79,78.8,-0.433,19.41,20.21,01a58774o0420o
58774.381984,20.842,0.662,17,11,o,0,1.5,2.87006,35.973,2440.68,4496.88,2.13,1.8,76.4,-0.431,19.45,20.21,01a58774o0433o
58774.395917,21.605,1.287,8,11,o,0,1.85,2.87006,35.973,2424.65,4610.96,2.19,1.81,80.9,-0.43,19.44,20.21,01a58774o0462o
58775.394045,22.786,4.038,3,11,o,0,1.4,2.87006,35.973,8105.49,7994.42,2.2,2.11,-75.0,-0.427,19.41,20.3,02a58775o0421o
58775.39942,20.999,0.977,14,14,o,0,1.19,2.87006,35.973,8084.87,7955.8,2.25,2.14,-79.0,-0.426,19.39,20.28,02a58775o0431o
58775.411949,-19.804,0.281,-44,12,o,0,1.95,2.87006,35.973,8139.36,8038.04,2.39,2.3,-77.0,-0.415,19.34,20.29,02a58775o0456o
58775.41825,-21.937,3.275,-6,20,o,0,0.83,2.87006,35.973,8155.15,7916.81,2.27,2.19,-84.6,-0.429,19.25,20.12,02a58775o0468o
58777.434518,-20.455,0.679,-24,16,o,0,1.45,2.87006,35.973,1990.36,6944.78,2.34,1.94,-89.6,-0.424,19.01,19.72,01a58777o0526o
58777.444366,24.964,45.0,0,17,o,0,0.97,2.87006,35.973,2011.49,6982.53,2.49,2.05,88.9,-0.42,19.15,20.0,01a58777o0546o
58777.448071,-21.302,1.714,-11,19,o,0,0.96,2.87006,35.973,1953.6,6904.27,2.49,2.06,88.0,-0.412,19.08,19.97,01a58777o0554o
58777.458938,20.153,0.398,32,12,o,0,1.4,2.87006,35.973,1934.77,7019.45,2.66,2.09,-88.9,-0.398,19.35,20.32,01a58777o0576o
58778.402516,23.626,7.0,1,9,o,0,1.34,2.87006,35.973,1994.65,6945.74,2.35,1.91,-89.4,-0.42,19.65,20.92,01a58778o0387o
58778.405736,-23.534,5.875,-1,8,o,0,1.41,2.87006,35.973,2015.03,6984.55,2.22,1.91,-86.2,-0.427,19.69,20.93,01a58778o0394o
58778.411265,21.735,1.146,7,8,o,0,1.24,2.87006,35.973,1955.63,6906.32,2.1,1.75,-88.6,-0.433,19.74,20.92,01a58778o0406o
