MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59666.12574,20.548,0.842,22,18,o,0,0.67,346.01523,-67.83287,623.54,5796.86,2.45,2.19,-33.1,-0.431,19.09,20.07,03a59666o0808o
59666.128607,20.85,1.047,17,17,o,0,1.21,346.01523,-67.83287,604.44,5755.03,2.51,2.24,-33.7,-0.417,19.06,20.03,03a59666o0814o
59666.133944,-20.961,1.146,-15,17,o,0,1.18,346.01523,-67.83287,661.81,5839.49,2.52,2.25,-36.0,-0.419,19.06,20.03,03a59666o0825o
59666.149156,-21.807,2.705,-7,19,o,0,1.13,346.01523,-67.83287,684.36,5719.33,2.5,2.28,-34.4,-0.416,18.96,19.82,03a59666o0857o
59682.123649,-21.283,1.181,-11,13,o,0,1.39,346.01523,-67.83287,1762.15,8236.59,2.46,2.11,-39.0,-0.402,19.19,20.22,03a59682o0863o
59682.126438,-20.124,0.44,-32,14,o,0,1.0,346.01523,-67.83287,1742.86,8191.35,2.33,2.05,-33.7,-0.418,19.26,20.2,03a59682o0869o
59682.131585,21.01,1.026,14,15,o,0,1.2,346.01523,-67.83287,1801.72,8274.26,2.32,2.07,-30.3,-0.414,19.23,20.2,03a59682o0880o
59682.141387,-21.436,1.289,-10,12,o,0,1.3,346.01523,-67.83287,1821.75,8158.06,2.39,2.06,-30.5,-0.407,19.22,20.25,03a59682o0901o
59690.124737,20.812,1.119,17,19,o,0,1.63,346.01523,-67.83287,1430.22,2004.0,2.45,2.3,-29.3,-0.407,18.79,19.39,03a59690o0757o
59690.127492,-20.84,1.269,-17,21,o,0,1.16,346.01523,-67.83287,1413.2,1961.5,2.39,2.28,-31.4,-0.41,18.82,19.41,03a59690o0763o
59690.133619,-19.872,0.502,-41,20,o,0,0.96,346.01523,-67.83287,1466.55,2043.53,2.33,2.21,-32.2,-0.418,18.86,19.42,03a59690o0775o
59690.14004,-20.777,1.266,-18,22,o,0,1.37,346.01523,-67.83287,10182.06,2077.04,2.79,2.1,-48.6,-0.371,18.81,19.42,03a59690o0788o
59690.151603,-21.25,1.744,-12,20,o,0,1.4,346.01523,-67.83287,1490.1,1919.71,2.46,2.34,-29.3,-0.408,18.78,19.45,03a59690o0812o
59690.159038,-19.646,0.528,-50,27,o,0,0.91,346.01523,-67.83287,10168.82,2042.28,2.99,2.22,-49.5,-0.365,18.75,19.36,03a59690o0827o
59690.163163,-20.842,1.529,-17,26,o,0,1.0,346.01523,-67.83287,10224.54,2112.95,2.78,2.12,-48.0,-0.361,18.71,19.2,03a59690o0836o
59690.170499,-21.655,4.241,-8,34,o,0,1.31,346.01523,-67.83287,10244.72,1999.34,2.95,2.15,-50.1,-0.352,18.23,18.24,03a59690o0851o
59698.142201,-20.977,1.306,-15,19,o,0,1.21,346.01523,-67.83287,9258.41,10392.33,2.67,2.37,-52.5,-0.505,19.14,20.12,03a59698o0633o
59698.143126,20.488,0.636,23,15,o,0,1.35,346.01523,-67.83287,2340.42,144.29,2.55,2.32,-46.5,-0.384,19.2,20.18,03a59698o0635o
59698.160321,19.675,0.341,49,17,o,0,1.56,346.01523,-67.83287,9228.64,10355.14,2.69,2.3,-57.4,-0.482,19.05,19.95,03a59698o0668o
59698.160776,20.552,0.744,22,16,o,0,1.17,346.01523,-67.83287,2323.79,101.0,2.63,2.33,-52.0,-0.379,19.11,20.02,03a59698o0669o
59698.164344,-20.315,0.891,-27,24,o,0,0.87,346.01523,-67.83287,9290.63,10433.26,2.84,2.43,-59.2,-0.491,18.91,19.75,03a59698o0676o
59698.164799,20.321,0.784,27,21,o,0,0.94,346.01523,-67.83287,2374.84,185.86,2.64,2.34,-53.2,-0.385,19.04,19.79,03a59698o0677o
59698.174216,20.891,4.024,16,64,o,0,1.11,346.01523,-67.83287,9310.82,10312.29,2.86,2.55,-54.9,-0.498,17.87,17.79,03a59698o0697o
59698.175686,23.681,59.444,1,73,o,0,0.69,346.01523,-67.83287,2395.16,65.08,2.68,2.4,-52.5,-0.348,17.79,17.46,03a59698o0700o
59716.256089,20.562,1.495,22,32,o,0,0.88,346.01523,-67.83287,4629.45,5930.8,1.98,1.9,-87.1,-0.378,18.34,18.57,04a59716o0633o
59716.260104,-19.828,0.614,-42,26,o,0,0.92,346.01523,-67.83287,4609.02,5894.15,2.1,1.95,-80.9,-0.372,18.32,18.59,04a59716o0640o
59716.265693,21.237,2.472,12,29,o,0,1.0,346.01523,-67.83287,4666.93,5973.35,1.95,1.82,-82.9,-0.392,18.38,18.64,04a59716o0650o
59716.279704,25.139,70.667,0,23,o,0,0.99,346.01523,-67.83287,4682.51,5859.45,1.91,1.81,-79.2,-0.391,18.45,18.71,04a59716o0676o
59726.14343,20.705,0.519,19,10,o,0,1.21,346.01523,-67.83287,7237.08,8640.95,2.23,2.13,-55.1,-0.448,19.56,20.86,03a59726o0913o
59726.148729,21.006,0.93,14,13,o,0,0.92,346.01523,-67.83287,7214.43,8605.1,2.22,2.19,-24.5,-0.458,19.52,20.86,03a59726o0924o
59726.16697,22.392,2.879,4,12,o,0,0.96,346.01523,-67.83287,7265.34,8682.38,2.21,2.16,-53.2,-0.453,19.52,20.78,03a59726o0963o
59726.175414,22.874,4.81,3,12,o,0,1.39,346.01523,-67.83287,7287.49,8564.42,2.22,2.16,-13.9,-0.458,19.31,20.26,03a59726o0979o
59738.123222,-20.768,0.451,-18,8,o,0,1.3,346.01523,-67.83287,3760.26,8282.67,2.28,2.25,-84.1,-0.433,19.59,21.1,03a59738o0871o
59738.126024,-22.456,2.724,-4,10,o,0,1.14,346.01523,-67.83287,3739.89,8242.86,2.24,2.21,-17.2,-0.441,19.61,21.11,03a59738o0877o
59740.313292,-19.556,0.331,-55,18,o,0,1.42,346.01523,-67.83287,7031.04,483.12,2.31,2.0,-22.8,-0.41,18.83,20.07,04a59740o0375o
59740.318385,-20.773,0.663,-18,12,o,0,0.87,346.01523,-67.83287,7017.93,443.47,2.14,1.87,-27.0,-0.438,19.48,20.69,04a59740o0386o
59740.321087,-21.162,1.0,-12,12,o,0,1.25,346.01523,-67.83287,7073.9,520.92,2.31,1.87,-28.5,-0.423,19.21,20.37,04a59740o0392o
59740.333782,-23.672,8.9,-1,11,o,0,1.11,346.01523,-67.83287,7098.78,406.71,2.35,2.06,-24.7,-0.405,19.44,20.72,04a59740o0420o
59742.108277,-20.212,2.262,-30,68,o,0,1.15,346.01523,-67.83287,3712.79,8235.69,2.6,2.54,0.9,-0.396,17.41,18.0,03a59742o0102o
59742.111009,-19.462,1.23,-60,73,o,0,0.82,346.01523,-67.83287,3692.78,8194.35,2.74,2.57,10.6,-0.394,17.62,18.41,03a59742o0108o
59742.116025,19.715,0.672,47,32,o,0,1.39,346.01523,-67.83287,3749.98,8275.6,2.69,2.62,-2.0,-0.39,18.34,19.25,03a59742o0119o
59742.126527,21.071,1.167,14,16,o,0,0.98,346.01523,-67.83287,3770.37,8158.88,3.08,2.94,9.3,-0.384,19.02,20.57,03a59742o0142o
59746.071227,-19.225,0.871,-74,65,o,0,1.0,346.01523,-67.83287,4464.9,5867.29,3.25,2.87,55.2,-0.42,17.81,18.33,03a59746o0422o
59746.073071,-18.7,0.575,-120,69,o,0,0.92,346.01523,-67.83287,4446.39,5827.67,3.24,2.77,54.9,-0.403,17.67,18.05,03a59746o0426o
59746.076773,-20.056,1.195,-34,41,o,0,0.99,346.01523,-67.83287,4502.23,5906.65,3.41,3.1,59.7,-0.413,18.18,18.76,03a59746o0434o
59746.083891,-21.103,3.271,-13,43,o,0,0.95,346.01523,-67.83287,4523.81,5789.32,3.47,3.08,50.1,-0.4,18.27,18.9,03a59746o0449o
59748.241863,-19.985,1.575,-37,58,o,0,1.05,346.01523,-67.83287,6234.2,6273.89,2.15,1.74,-25.5,-0.417,17.55,18.45,04a59748o0642o
59755.140876,-21.632,1.071,-8,9,c,0,1.01,346.01523,-67.83287,8742.15,2350.27,2.62,2.37,10.8,-0.406,19.76,21.69,03a59755o0149c
59755.143656,-22.389,1.889,-4,8,c,0,1.35,346.01523,-67.83287,8762.09,2390.86,2.65,2.42,7.7,-0.407,19.71,21.67,03a59755o0155c
59755.149593,22.036,1.622,6,9,c,0,1.06,346.01523,-67.83287,8701.96,2307.59,2.7,2.41,10.6,-0.409,19.71,21.65,03a59755o0168c
59755.160171,20.579,0.475,21,10,c,0,0.87,346.01523,-67.83287,8679.46,2422.46,3.02,2.52,22.5,-0.411,19.63,21.74,03a59755o0191c
59755.195038,21.81,3.978,7,27,c,0,0.75,346.01523,-67.83287,8722.81,2371.22,2.66,2.51,16.7,-0.39,18.66,19.12,03a59755o0257c
59756.16633,-19.415,0.487,-62,30,c,0,1.23,346.01523,-67.83287,4010.89,206.29,4.17,3.85,41.3,-0.267,18.23,20.5,04a59756o0335c
59756.176622,20.643,2.867,20,58,c,0,1.14,346.01523,-67.83287,3991.12,161.48,3.79,3.58,37.7,-0.303,17.72,19.96,04a59756o0356c
59756.180325,-20.128,1.355,-32,44,c,0,1.08,346.01523,-67.83287,4046.38,247.11,3.98,3.84,29.9,-0.225,17.69,20.06,04a59756o0363c
59756.194663,-20.756,1.84,-18,33,c,0,0.86,346.01523,-67.83287,4062.95,125.97,3.69,3.49,51.1,-0.267,18.12,20.39,04a59756o0393c
59756.349552,-21.049,1.643,-14,23,c,0,1.16,346.01523,-67.83287,1637.81,10342.35,3.55,2.92,-88.7,-0.315,18.52,20.63,04a59756o0694c
59756.352304,18.908,0.765,99,76,c,0,0.85,346.01523,-67.83287,1618.42,10303.56,3.5,2.81,89.3,-0.305,17.35,19.28,04a59756o0700c
59756.355808,20.693,4.143,19,80,c,0,0.95,346.01523,-67.83287,1686.51,10387.95,3.48,2.86,84.4,-0.317,17.35,19.28,04a59756o0707c
59756.360859,18.244,0.387,183,71,c,0,1.84,346.01523,-67.83287,1714.05,10272.88,4.01,3.31,86.8,-0.293,17.39,19.46,04a59756o0718c
59757.094551,21.496,0.833,9,8,c,0,1.32,346.01523,-67.83287,8097.07,4236.73,2.55,2.45,-45.9,-0.419,19.79,21.95,03a59757o0879c
