MasterID,Mag,Magerr,RA,Dec,MJD,Blend
3067070013279,19.029,0.443,346.01605,-67.83297,53952.61631,0
3067070013279,20.298,0.712,346.01551,-67.83285,53963.60082,0
3067070013279,20.274,0.702,346.01536,-67.83273,53963.60766,0
3067070013279,19.544,0.457,346.01534,-67.83284,53963.61444,0
3067070013279,19.815,0.732,346.01554,-67.83304,54056.46461,0
3067070013279,19.664,0.662,346.01550,-67.83278,54010.51950,0
3067070013279,18.800,0.419,346.01521,-67.83272,53994.54980,0
3067070013279,19.398,0.565,346.01555,-67.83285,53994.55931,0
3067070013279,19.822,0.738,346.01557,-67.83310,54464.46567,0
3067070013279,19.193,0.488,346.01555,-67.83300,54350.55325,0
3067070013279,19.997,0.786,346.01528,-67.83280,54355.58765,0
3067070013279,19.578,0.408,346.01595,-67.83258,54696.64653,0
3067070013279,19.474,0.386,346.01558,-67.83295,54696.66907,0
3067070013279,19.749,0.579,346.01533,-67.83289,54672.72748,0
3067070013279,20.259,0.590,346.01589,-67.83294,54640.81865,0
3067070013279,19.720,0.432,346.01572,-67.83278,54600.72296,0
3067070013279,19.908,0.479,346.01595,-67.83262,54600.72735,0
3067070013279,19.223,0.326,346.01562,-67.83258,54600.73613,0
3067070013279,20.262,0.662,346.01522,-67.83271,54741.53823,0
3067070013279,19.495,0.469,346.01541,-67.83254,54761.52647,0
3067070013279,20.463,0.602,346.01526,-67.83322,56088.80725,0
3067070013279,19.192,0.293,346.01645,-67.83296,56088.81588,0
3067070013279,19.829,0.367,346.01556,-67.83277,56149.59034,0
3067070013279,20.383,0.502,346.01615,-67.83285,56149.62044,0
3067070013279,20.429,0.397,346.01601,-67.83292,56179.63707,0
3067070013279,20.768,0.483,346.01522,-67.83271,56179.65119,0
