MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1101070039094,19.291,0.188,195.70696, 1.82191,53464.33495,0
1101070039094,19.578,0.216,195.70715, 1.82189,53464.34307,0
1101070039094,19.353,0.194,195.70714, 1.82175,53464.35114,0
1101070039094,19.467,0.205,195.70705, 1.82209,53464.35920,0
1101070039094,20.329,0.381,195.70678, 1.82157,53706.53712,0
1101070039094,19.454,0.214,195.70689, 1.82173,53714.49682,0
1101070039094,19.508,0.219,195.70729, 1.82175,53714.50632,0
1101070039094,19.390,0.206,195.70707, 1.82185,53714.51572,0
1101070039094,19.709,0.241,195.70721, 1.82196,53714.52515,0
1101070039094,19.397,0.206,195.70721, 1.82208,53732.49384,0
1101070039094,19.753,0.245,195.70703, 1.82157,53732.50243,0
1101070039094,19.635,0.232,195.70714, 1.82168,53732.51114,0
1101070039094,19.458,0.212,195.70682, 1.82181,53732.51987,0
1101070039094,19.752,0.257,195.70672, 1.82155,53554.15957,0
1101070039094,20.612,0.411,195.70711, 1.82202,53554.16605,0
1101070039094,19.421,0.218,195.70725, 1.82200,53554.17247,0
1101070039094,19.882,0.259,195.70740, 1.82188,53498.24093,0
1101070039094,19.329,0.196,195.70694, 1.82161,53498.24794,0
1101070039094,19.556,0.220,195.70729, 1.82181,53498.25501,0
1101070039094,19.574,0.222,195.70694, 1.82160,53498.26206,0
1101070039094,18.950,0.168,195.70686, 1.82200,53521.22883,0
1101070039094,19.450,0.213,195.70705, 1.82226,53521.24603,0
1101070039094,19.160,0.188,195.70688, 1.82194,53521.25463,0
1101070039094,18.857,0.166,195.70712, 1.82179,53844.33439,0
1101070039094,19.384,0.214,195.70711, 1.82123,53844.34304,0
1101070039094,19.515,0.230,195.70720, 1.82229,53844.35165,0
1101070039094,20.539,0.400,195.70673, 1.82205,53844.36026,0
1101070039094,21.000,0.465,195.70497, 1.82156,54094.48182,0
1101070039094,19.417,0.198,195.70703, 1.82166,54094.49185,0
1101070039094,19.014,0.164,195.70706, 1.82160,54094.50186,0
1101070039094,19.739,0.245,195.70671, 1.82188,53773.46975,0
1101070039094,19.484,0.215,195.70697, 1.82179,53773.48280,0
1101070039094,19.210,0.188,195.70740, 1.82150,53773.48931,0
1101070039094,19.664,0.234,195.70725, 1.82216,53788.42961,0
1101070039094,19.629,0.231,195.70723, 1.82197,53788.43707,0
