oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
475304200020726,149546283,2459249.9659820325,59249.4628356,19.6101151,0.135482669,0,zi,195.7070131,1.8216107,0.898000002,-0.432999998,20210204462836,475,4.0,2.0,19.8700008,25.5421162,0.0284159947,0.186263934,1.80032112e-05,30,1.17700005,2
475304200020726,149946369,2459253.967172305,59253.4636921,19.5716324,0.132250011,0,zi,195.7069816,1.8216372,0.419,-0.0329999998,20210208463692,475,4.0,2.0,20.6700001,25.5386314,0.0203631222,0.184352532,9.5634914e-06,30,1.15799999,2
475304200020726,150246510,2459256.9688241854,59256.4651042,19.6105042,0.135515451,0,zi,195.7070901,1.8216044,0.564999998,-0.0439999998,20210211465104,475,4.0,2.0,20.6100006,25.5385036,0.0313052572,0.179466322,2.31908652e-05,30,1.148,2
475304200020726,151039628,2459264.9005891113,59264.3962847,19.9027653,0.160327673,0,zi,195.7070684,1.8216413,1.472,0.335999995,20210219396273,475,4.0,2.0,21.0300007,25.5417652,0.0211255327,0.186310157,1.01836949e-05,30,1.24100006,2
475304200020726,152439505,2459278.9001939106,59278.3950579,19.5464115,0.130147085,0,zi,195.7071336,1.821678,0.787999988,0.075000003,20210305395058,475,4.0,2.0,20.3400002,25.5434113,0.0299192593,0.18614307,2.04243315e-05,30,1.15900004,2
475304200020726,153733171,2459291.8373579434,59291.331713,19.6176147,0.136115581,0,zi,195.7070661,1.821615,0.730000019,0.00899999961,20210318331713,475,4.0,2.0,20.7800007,25.5186138,0.0196034368,0.185203239,8.8065899e-06,30,1.21399999,2
475304200020726,154135438,2459295.8601345136,59295.3543866,19.7165737,0.144530639,0,zi,195.7071875,1.8216138,0.640999973,0.165999994,20210322354387,475,4.0,2.0,20.4400005,25.4775734,0.0226370916,0.183737069,1.14562681e-05,30,1.15199995,2
475304200020726,155429408,2459308.7999810902,59308.2940856,19.8923149,0.159456179,0,zi,195.7070542,1.8216051,0.546000004,0.0109999999,20210404294086,475,4.0,2.0,20.5100002,25.4393139,0.0246473346,0.180747792,1.42340687e-05,30,1.19200003,2
475304200020726,155733701,2459311.8429031023,59311.3370139,19.7448883,0.146950185,0,zi,195.7070996,1.821647,0.745000005,0.162,20210407336991,475,4.0,2.0,20.9300003,25.5168877,0.0199407637,0.180047378,8.92414573e-06,30,1.13999999,2
475304200020726,156029472,2459314.800590276,59314.2947222,19.5806866,0.133008212,0,zi,195.7071557,1.8216518,1.00100005,-0.224999994,20210410294722,475,4.0,2.0,20.6399994,25.5176868,0.0194061305,0.183511376,8.51233563e-06,30,1.16199994,2
475304200020726,157029589,2459324.8015796663,59324.2958912,19.8342133,0.154563427,0,zi,195.7071545,1.8216175,1.00899994,-0.0329999998,20210420295891,475,4.0,2.0,20.4899998,25.5382137,0.0232034512,0.183314025,1.26506447e-05,30,1.13999999,2
475304200020726,158725478,2459341.759803318,59341.2547801,19.57864,0.132836685,0,zi,195.7070961,1.8216383,1.09899998,0.0879999995,20210507254769,475,4.0,2.0,20.7399998,25.50564,0.0217063911,0.184461221,1.09323018e-05,30,1.13999999,2
475304200020726,159428663,2459348.791257409,59348.2866319,19.6129551,0.135722205,0,zi,195.7070695,1.8216181,0.703000009,0.116999999,20210514286632,475,4.0,2.0,20.9699993,25.4889545,0.028046893,0.185486868,1.78510963e-05,30,1.204,2
475304200020726,159925350,2459353.7578130406,59353.2535069,19.8301239,0.154216662,0,zi,195.707108,1.8214785,0.643000007,-0.128999993,20210519253495,475,4.0,2.0,20.3199997,25.4671249,0.0223400593,0.190572113,1.09491448e-05,30,1.16499996,2
475304200020726,161619013,2459370.693153612,59370.1901389,19.422081,0.120007396,0,zi,195.7070112,1.8216684,0.813000023,-0.0909999982,20210605190139,475,4.0,2.0,20.3999996,25.4840813,0.022397818,0.191716552,1.14046852e-05,30,1.14600003,2
475304200020726,162119156,2459375.6941464613,59375.1915625,19.8700447,0.157589555,0,zi,195.7070713,1.8216791,1.546,0.150999993,20210610191562,475,4.0,2.0,20.5300007,25.5130444,0.0203577671,0.19241479,9.84509461e-06,30,1.16199994,2
475304200020726,162525576,2459379.757985016,59379.2557639,19.680233,0.141429812,0,zi,195.707069,1.8216547,0.672999978,-0.115999997,20210614255764,475,4.0,2.0,20.7299995,25.470232,0.0255369339,0.187661439,1.48194222e-05,30,1.43900001,2
475304200020726,186843733,2459622.9411132033,59622.437338,19.592926,0.134035483,0,zi,195.7071986,1.821587,0.467999995,-0.0320000015,20220212437326,475,4.0,2.0,20.2900009,25.5479259,0.0287756268,0.192275926,1.93347587e-05,30,1.18499994,2
475304200020726,188238005,2459636.884795602,59636.3800579,19.9409618,0.163483009,0,zi,195.7070612,1.8216618,0.936999977,-0.0879999995,20220226380046,475,4.0,2.0,20.5799999,25.5339622,0.0210607387,0.193898469,9.86596115e-06,30,1.23399997,2
475304200020726,191739442,2459671.900311723,59671.3944213,19.5908375,0.133859992,0,zi,195.7070417,1.8216421,1.21899998,-0.187999994,20220402394421,475,4.0,2.0,20.6499996,25.5258369,0.0345971584,0.191576853,2.76531791e-05,30,1.18700004,2
475304200020726,192129846,2459675.8043541126,59675.2984606,19.7360058,0.14619109,0,zi,195.7070616,1.8216283,0.670000017,-0.0790000036,20220406298461,475,4.0,2.0,20.9300003,25.4650059,0.0289934613,0.18435286,2.02719166e-05,30,1.17400002,2
475304200020726,192825629,2459682.7621315075,59682.2562963,19.9249611,0.162167341,0,zi,195.707217,1.8216695,0.442999989,-0.256999999,20220413256273,475,4.0,2.0,19.8500004,25.5349617,0.0355394036,0.184390292,2.89186755e-05,30,1.22899997,2
