MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs,phase,uJy_clip,duJy_plot,uplim
57506.446309,-21.121,2.417,-13,31,o,0,0.96,195.70711,1.82167,902.87,3970.64,4.63,3.78,-39.0,-0.432,18.76,20.17,02a57506o0434o,0.8956892044582553,-13.0,30.0,True
57506.464688,-20.326,1.098,-27,30,o,0,1.01,195.70711,1.82167,964.01,3931.95,4.55,3.75,-36.9,-0.449,18.75,20.12,02a57506o0470o,0.17824308941666767,-27.0,30.0,False
57506.482857,19.679,0.637,49,31,o,0,1.13,195.70711,1.82167,885.29,3912.53,4.59,3.73,-37.4,-0.442,18.7,20.01,02a57506o0506o,0.45756848994355576,49.0,30.0,True
57506.501069,21.103,2.545,13,34,o,0,1.15,195.70711,1.82167,981.94,3991.15,4.82,3.97,-35.2,-0.427,18.54,19.88,02a57506o0542o,0.7375549609856049,13.0,30.0,True
57506.518663,-19.827,0.983,-43,42,o,0,0.95,195.70711,1.82167,865.2,4008.68,5.35,4.39,-33.2,-0.401,18.31,19.69,02a57506o0577o,0.008040463621658724,-43.0,30.0,True
57562.275432,-20.705,1.333,-19,25,o,0,1.05,195.70711,1.82167,2315.81,5252.29,4.26,3.76,-64.3,-0.477,19.07,20.83,02a57562o0083o,0.1978599759608684,-19.0,25.0,False
57562.301976,23.414,18.0,2,28,o,0,0.84,195.70711,1.82167,2351.37,5290.43,4.3,3.77,-54.9,-0.47,18.88,20.48,02a57562o0134o,0.6059404113494464,2.0,28.0,False
57562.313989,-20.26,1.036,-29,30,o,0,1.07,195.70711,1.82167,2373.93,5173.28,4.26,3.73,-50.6,-0.476,18.72,20.13,02a57562o0156o,0.7906250960275163,-29.0,30.0,False
57562.326332,-19.498,0.557,-58,32,o,0,0.96,195.70711,1.82167,2336.6,5230.05,4.23,3.7,-46.9,-0.476,18.62,19.94,02a57562o0178o,0.9803831133517361,-58.0,30.0,True
57566.267627,-20.666,1.316,-20,26,o,0,1.11,195.70711,1.82167,2110.15,3915.71,4.16,3.69,-46.5,-0.49,19.03,20.65,02a57566o0076o,0.5728100113035587,-20.0,26.0,False
57566.279254,-23.427,16.333,-2,25,o,0,1.05,195.70711,1.82167,2090.07,3876.75,4.21,3.68,-47.1,-0.487,19.07,20.73,02a57566o0096o,0.7515604340791662,-2.0,25.0,False
