MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59578.010181,20.373,0.52,26,13,o,0,1.08,114.69768,-59.51688,1846.04,3324.81,3.26,2.78,-75.8,-0.377,19.16,21.07,03a59578o0289o
59578.013559,20.934,0.746,15,12,o,0,1.5,114.69768,-59.51688,1885.43,3360.32,3.09,2.66,-82.7,-0.376,19.2,21.06,03a59578o0295o
59578.019149,-25.478,60.0,0,14,o,0,1.03,114.69768,-59.51688,1866.6,3276.14,3.21,2.63,-82.8,-0.371,19.17,20.96,03a59578o0306o
59578.030132,23.337,8.0,2,13,o,0,1.46,114.69768,-59.51688,1915.9,3379.98,3.26,2.68,-83.1,-0.367,19.12,20.88,03a59578o0326o
59578.999937,-20.64,0.653,-20,13,o,0,1.23,114.69768,-59.51688,1801.33,3341.07,2.96,2.41,-81.4,-0.38,19.18,20.92,03a59579o0348o
59579.002797,20.158,0.48,31,15,o,0,0.81,114.69768,-59.51688,1836.52,3372.68,2.94,2.53,-84.7,-0.372,19.14,20.96,03a59579o0354o
59579.009636,-23.252,7.875,-2,14,o,0,1.05,114.69768,-59.51688,1823.68,3286.31,3.0,2.68,-83.6,-0.365,19.16,20.9,03a59579o0367o
59579.041444,20.261,0.609,28,17,o,0,1.01,114.69768,-59.51688,4934.91,1065.13,3.22,2.71,-83.8,-0.398,19.06,20.72,03a59579o0433o
59579.044485,21.386,2.0,10,20,o,0,0.63,114.69768,-59.51688,4973.18,1106.57,3.05,2.55,-83.1,-0.406,19.01,20.58,03a59579o0439o
59579.050646,20.252,0.78,29,22,o,0,1.17,114.69768,-59.51688,4956.65,1030.44,3.14,2.7,-83.3,-0.4,18.58,20.09,03a59579o0451o
59579.981209,20.629,0.602,20,12,o,0,1.31,114.69768,-59.51688,8445.36,1103.13,3.29,2.66,-66.4,-0.372,19.31,21.34,03a59580o0406o
59579.98417,21.542,1.63,9,14,o,0,1.08,114.69768,-59.51688,2079.99,1418.98,3.88,3.05,-81.2,-0.363,19.19,21.35,03a59580o0411o
59579.989851,-22.665,4.778,-3,15,o,0,1.26,114.69768,-59.51688,2108.08,1528.61,3.88,3.2,-84.8,-0.375,19.17,21.38,03a59580o0421o
59579.999809,22.418,3.063,4,12,o,0,1.33,114.69768,-59.51688,8486.37,1133.87,3.24,2.73,-64.0,-0.364,19.28,21.31,03a59580o0440o
59585.967537,22.552,3.154,4,11,c,0,1.16,114.69768,-59.51688,9475.39,9117.16,3.29,2.99,-33.2,-0.373,19.3,21.85,03a59586o0383c
59585.978953,-20.778,0.589,-18,10,c,0,1.08,114.69768,-59.51688,9387.88,9112.71,3.14,2.86,-39.5,-0.369,19.36,21.88,03a59586o0406c
59585.980356,23.691,8.6,1,10,c,0,0.96,114.69768,-59.51688,9444.28,9192.83,3.1,2.85,-36.7,-0.38,19.37,21.85,03a59586o0409c
59585.983183,20.503,0.476,23,11,c,0,1.19,114.69768,-59.51688,9451.3,9094.61,3.46,2.98,-33.6,-0.366,19.28,21.85,03a59586o0415c
59586.011018,-23.116,6.167,-2,13,c,0,1.84,114.69768,-59.51688,7435.18,3582.19,3.57,2.94,6.1,-0.435,19.32,21.79,03a59586o0472c
59586.013816,-20.171,0.396,-31,12,c,0,1.39,114.69768,-59.51688,7468.77,3623.53,3.47,2.88,9.9,-0.431,19.35,21.77,03a59586o0478c
59586.049333,-22.619,4.091,-3,13,c,0,1.36,114.69768,-59.51688,7656.95,3588.37,3.41,2.67,14.8,-0.417,19.29,21.54,03a59586o0549c
59586.057733,20.445,0.589,24,14,c,0,1.12,114.69768,-59.51688,7683.55,3707.45,3.67,2.78,13.1,-0.405,19.27,21.57,03a59586o0565c
59596.974324,-19.781,0.677,-44,30,o,0,1.17,114.69768,-59.51688,5520.93,3614.38,2.54,2.17,-11.3,-0.482,18.6,19.31,03a59597o0336o
59596.978053,21.083,2.071,13,28,o,0,1.23,114.69768,-59.51688,5560.92,3650.42,2.49,2.14,-12.4,-0.498,18.61,19.29,03a59597o0344o
59596.997594,21.211,2.183,12,26,o,0,1.37,114.69768,-59.51688,5638.15,3583.06,2.55,2.28,-2.2,-0.462,18.57,19.3,03a59597o0382o
59597.002779,-19.317,0.476,-68,32,o,0,0.9,114.69768,-59.51688,5645.27,3692.91,2.51,2.25,-0.2,-0.479,18.61,19.31,03a59597o0393o
59600.955509,-21.21,2.309,-12,28,o,0,0.83,114.69768,-59.51688,8063.66,2419.84,2.77,2.22,-83.4,-0.401,18.53,19.7,03a59601o0219o
59600.9594,20.955,1.877,15,28,o,0,1.05,114.69768,-59.51688,8081.84,2458.15,2.75,2.2,-82.1,-0.412,18.66,19.72,03a59601o0227o
59600.995362,20.958,1.256,15,19,o,0,1.02,114.69768,-59.51688,8030.02,2377.87,2.73,2.1,-81.1,-0.412,18.96,19.97,03a59601o0301o
59601.024396,-20.057,0.473,-34,16,o,0,1.41,114.69768,-59.51688,8012.94,2490.53,2.83,2.18,-77.5,-0.425,18.86,19.96,03a59601o0362o
59604.922616,23.13,5.375,2,11,c,0,1.1,114.69768,-59.51688,8062.69,2421.1,3.17,2.8,87.7,-0.372,19.41,21.9,03a59605o0335c
59604.925428,-20.613,0.558,-21,12,c,0,1.02,114.69768,-59.51688,8080.91,2459.83,3.08,2.7,85.9,-0.381,19.42,21.85,03a59605o0341c
59604.928242,-22.417,2.684,-4,10,c,0,0.66,114.69768,-59.51688,8022.93,2377.49,2.85,2.47,85.0,-0.396,19.53,21.81,03a59605o0347c
59604.93152,-20.685,0.5,-19,10,c,0,0.99,114.69768,-59.51688,7997.98,2491.77,2.92,2.37,-87.0,-0.385,19.49,21.72,03a59605o0354c
59607.947193,-21.346,1.135,-10,12,c,0,1.12,114.69768,-59.51688,2752.56,6208.56,3.45,3.02,-89.7,-0.365,19.33,21.91,03a59608o0207c
59607.949929,-24.562,18.5,0,10,c,0,1.25,114.69768,-59.51688,2772.06,6247.88,3.41,2.95,88.3,-0.355,19.35,21.87,03a59608o0213c
59607.956354,22.509,2.667,4,10,c,0,1.19,114.69768,-59.51688,2719.33,6170.43,3.2,2.73,-84.8,-0.368,19.45,21.89,03a59608o0227c
59607.966082,-22.78,3.5,-3,10,c,0,1.16,114.69768,-59.51688,2703.56,6291.15,3.19,2.68,-76.1,-0.364,19.44,21.91,03a59608o0248c
59621.926196,22.596,4.1,3,14,o,0,1.46,114.69768,-59.51688,6566.59,6089.42,2.44,2.1,-78.9,-0.461,19.11,20.34,03a59622o0349o
59621.929223,22.818,5.471,3,15,o,0,1.27,114.69768,-59.51688,6585.08,6128.71,2.38,2.04,-86.3,-0.478,19.09,20.35,03a59622o0355o
59621.938951,-21.927,2.914,-6,18,o,0,1.03,114.69768,-59.51688,6536.73,6048.49,2.53,2.17,-63.9,-0.455,19.06,20.37,03a59622o0376o
59621.948996,-22.972,5.714,-2,13,o,0,1.62,114.69768,-59.51688,6511.76,6153.81,2.39,2.11,-83.9,-0.48,19.12,20.37,03a59622o0398o
59628.107731,-20.77,1.36,-18,24,o,0,1.2,114.69768,-59.51688,7401.19,8694.93,2.55,2.24,-74.1,-0.404,18.79,19.6,04a59628o0196o
59628.110579,21.402,2.055,10,20,o,0,1.58,114.69768,-59.51688,7417.8,8732.29,2.45,2.22,-70.0,-0.415,18.82,19.59,04a59628o0202o
59628.116314,-22.621,7.333,-3,24,o,0,1.0,114.69768,-59.51688,7360.35,8647.9,2.77,2.32,-74.8,-0.386,18.75,19.59,04a59628o0214o
59628.126558,-19.77,0.569,-45,26,o,0,1.02,114.69768,-59.51688,7333.95,8756.99,2.3,2.17,-43.8,-0.415,18.79,19.57,04a59628o0236o
59632.164551,-19.929,0.373,-39,14,o,0,1.4,114.69768,-59.51688,7361.52,8650.52,2.69,2.55,-82.2,-0.379,19.07,20.42,04a59632o0245o
59632.167322,0.0,20.733,0,18,o,0,0.97,114.69768,-59.51688,7379.74,8687.53,2.82,2.64,-82.8,-0.385,19.03,20.41,04a59632o0251o
59632.174836,-20.92,0.901,-16,14,o,0,1.17,114.69768,-59.51688,7319.67,8603.42,2.55,2.41,-80.9,-0.386,19.09,20.39,04a59632o0267o
59632.188426,-20.542,0.756,-22,17,o,0,1.13,114.69768,-59.51688,7291.27,8713.48,2.55,2.36,-87.6,-0.383,19.09,20.33,04a59632o0296o
59636.16574,-20.985,0.637,-15,9,o,0,1.49,114.69768,-59.51688,5513.43,8695.8,2.6,2.04,-78.5,-0.427,19.54,21.02,04a59636o0203o
59636.1691,20.949,0.653,15,10,o,0,0.95,114.69768,-59.51688,5529.89,8732.0,2.61,2.06,-78.4,-0.415,19.55,21.03,04a59636o0210o
59636.174612,-20.655,0.476,-20,10,o,0,1.82,114.69768,-59.51688,5470.47,8652.45,2.42,2.04,-76.1,-0.454,19.55,21.01,04a59636o0222o
59636.18781,23.149,4.176,2,8,o,0,1.65,114.69768,-59.51688,5444.31,8761.8,2.57,1.97,-80.9,-0.421,19.58,20.97,04a59636o0250o
59638.134888,-21.163,0.897,-12,11,o,0,0.99,114.69768,-59.51688,4147.37,2522.43,2.03,1.9,61.0,-0.448,19.36,20.9,04a59638o0258o
59638.13764,-21.665,1.562,-8,12,o,0,0.74,114.69768,-59.51688,4164.68,2559.57,2.11,1.95,53.3,-0.436,19.33,20.9,04a59638o0264o
59638.143123,21.316,0.901,11,10,o,0,1.05,114.69768,-59.51688,4102.1,2478.4,2.06,1.92,59.9,-0.443,19.38,20.93,04a59638o0276o
59638.15456,21.808,1.75,7,12,o,0,1.04,114.69768,-59.51688,4071.14,2588.72,2.03,1.88,60.8,-0.444,19.34,20.89,04a59638o0301o
59639.114666,-21.648,1.306,-8,10,c,0,1.38,114.69768,-59.51688,9222.14,8670.14,2.94,2.81,-1.7,-0.325,19.5,21.6,04a59639o0258c
59639.117369,21.364,0.979,10,10,c,0,1.19,114.69768,-59.51688,9238.6,8708.27,2.93,2.81,7.2,-0.327,19.47,21.6,04a59639o0264c
59639.127018,-24.236,12.25,-1,9,c,0,1.41,114.69768,-59.51688,9177.53,8619.9,2.6,2.49,-24.9,-0.377,19.61,21.59,04a59639o0285c
59639.131544,21.561,1.356,9,12,c,0,1.23,114.69768,-59.51688,130.57,8711.84,3.02,2.36,-80.6,-0.33,19.55,21.58,04a59639o0295c
59639.134352,22.011,1.903,6,11,c,0,0.93,114.69768,-59.51688,146.42,8747.18,2.94,2.33,-76.0,-0.329,19.57,21.6,04a59639o0301c
59639.137535,21.237,0.871,12,10,c,0,1.15,114.69768,-59.51688,9152.01,8729.88,2.62,2.54,-20.6,-0.372,19.58,21.61,04a59639o0308c
59639.144272,20.056,0.575,34,20,c,0,4.4,114.69768,-59.51688,84.79,8667.26,2.97,2.35,-78.4,-0.323,19.58,21.59,04a59639o0322c
59639.15608,21.559,2.488,9,22,c,0,1.05,114.69768,-59.51688,55.01,8778.38,3.1,2.55,-77.5,-0.316,19.52,21.57,04a59639o0348c
