obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,htm20,cntr,bestastrometricrms,bestchisq,bestcon,bestlineartrend,bestmaxmag,bestmaxslope,bestmedianabsdev,bestminmag,bestnabovemeanbystd_1,bestnabovemeanbystd_3,bestnabovemeanbystd_5,bestnbelowmeanbystd_1,bestnbelowmeanbystd_3,bestnbelowmeanbystd_5,bestnconsecabovemeanbystd_1,bestnconsecabovemeanbystd_3,bestnconsecabovemeanbystd_5,bestnconsecbelowmeanbystd_1,bestnconsecbelowmeanbystd_3,bestnconsecbelowmeanbystd_5,bestnconsecfrommeanbystd_1,bestnconsecfrommeanbystd_3,bestnconsecfrommeanbystd_5,bestnmedianbufferrange,bestnpairposslope,bestpercentiles_05,bestpercentiles_10,bestpercentiles_175,bestpercentiles_25,bestpercentiles_325,bestpercentiles_40,bestpercentiles_60,bestpercentiles_675,bestpercentiles_75,bestpercentiles_825,bestpercentiles_90,bestpercentiles_95,bestskewness,bestsmallkurtosis,beststetsonj,beststetsonk,bestvonneumannratio,bestweightedmagrms,bestweightedmeanmag,chisq,con,lineartrend,maxmag,maxslope,medianabsdev,minmag,nabovemeanbystd_1,nabovemeanbystd_3,nabovemeanbystd_5,nbelowmeanbystd_1,nbelowmeanbystd_3,nbelowmeanbystd_5,nconsecabovemeanbystd_1,nconsecabovemeanbystd_3,nconsecabovemeanbystd_5,nconsecbelowmeanbystd_1,nconsecbelowmeanbystd_3,nconsecbelowmeanbystd_5,nconsecfrommeanbystd_1,nconsecfrommeanbystd_3,nconsecfrommeanbystd_5,nmedianbufferrange,npairposslope,percentiles_05,percentiles_10,percentiles_175,percentiles_25,percentiles_325,percentiles_40,percentiles_60,percentiles_675,percentiles_75,percentiles_825,percentiles_90,percentiles_95,referencemumax,skewness,smallkurtosis,stetsonj,stetsonk,uncalibmeanmag,vonneumannratio,weightedmagrms,weightedmeanmag,x,y,z,zone,s_x,s_y,s_z,pid,s_fid,sextractor,flux_auto,fluxerr_auto,mag_iso,magerr_iso,mag_aper_1,magerr_aper_1,mag_aper_2,magerr_aper_2,mag_aper_3,magerr_aper_3,mag_aper_4,magerr_aper_4,mag_aper_5,magerr_aper_5,mag_petro,magerr_petro,relphotzp,mu_threshold,mu_max,background,threshold,xpeak_image,ypeak_image,x_image,y_image,s_cntr,ismerged,x2_image,y2_image,xy_image,a_world,b_world,theta_j2000,isoarea_world,kron_radius,petro_radius,class_star,errx2_image,erry2_image,errxy_image,flux_radius_1,flux_radius_2,flux_radius_3,flux_radius_4,flux_radius_5,exptime,airmass,colorterm,airmasscolorterm,bsrms,medianskymag,moonphas,moonesb,spt_ind,s_htm20,ipac_gid,ipac_pub_date
56796.2596872,19.159279,0.06894977,41702040010186,282.180872,33.080957,2,0,7.651355e-07,55,42,42,18.97765,0.0462234,18.99506,18.99506,19.01513,19.01513,0.1089716,0.1089716,22074698008814,282.180879,33.080997,4170,4,56796.2618572,1868,19.086704,20.771849,27.852757,3.25,3.547429,0,131072,0,1,13941404842158,429698143,7.651355e-07,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,2.974618,12.33285,0.05509733,0.8122126,1.833295,0.05903027,18.98336,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,20.73142,2.974618,12.33285,0.05509733,0.8122126,20.52811,1.833295,0.05903027,18.98336,0.17679565636895,-0.81903601444327,0.5458235089605,3969,0.1767957,-0.8190356,0.5458241,22074698,2,8814,3209.3772,184.88498,19.094597,0.0683551,20.590322,0.09983775,19.485735,0.07005315,19.244549,0.069053225,18.998304,0.08283614,18.946974,0.0965358,18.883047,0.11589672,99.99,-4.241024,-6.267474,1232.818,51.097927,1061.0,2317.0,1060.5709,2317.0762,4784322306,0,0.957847,0.81439,-0.001104,0.99,0.9144,-89.53362,2e-06,2.544534,5.28,0.91919,0.002272,0.002258,1.3e-05,0.994371,1.526761,2.44274,2.788637,2.962994,60.0,1.799,0.228573,-0.00673376,0.0289839,20.144403,300.642,0.0,202231333,13941404842150,101,2015-12-31 23:59:59
56824.4770972,18.942066,0.062461775,41702040010186,282.180872,33.080957,2,0,7.651355e-07,55,42,42,18.97765,0.0462234,18.99506,18.99506,19.01513,19.01513,0.1089716,0.1089716,21886034009699,282.18086,33.080975,4170,4,56824.4801472,1893,18.969301,20.845802,28.203829,2.55,3.076776,0,131072,0,1,13941404842158,429698143,7.651355e-07,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,2.974618,12.33285,0.05509733,0.8122126,1.833295,0.05903027,18.98336,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,20.73142,2.974618,12.33285,0.05509733,0.8122126,20.52811,1.833295,0.05903027,18.98336,0.17679565636895,-0.81903601444327,0.5458235089605,3969,0.1767955,-0.8190359,0.5458238,21886034,2,9699,4940.9546,260.98346,18.986765,0.058943022,20.220009,0.07562354,19.226974,0.059286393,19.054638,0.061798457,18.918165,0.082046784,18.987083,0.10657106,19.128927,0.13530192,99.99,-4.658948,-6.990901,3354.1274,77.386696,1071.0,2321.0,1071.4792,2321.0876,4791212893,0,0.626117,0.69793,0.084345,0.8784,0.7632,-33.12725,1e-06,2.5,5.28,0.724942,0.001321,0.001326,1.2e-05,0.866455,1.352425,2.174941,2.560846,2.773988,60.0,1.1674,0.3979,-0.150696,0.0247176,19.412336,314.346,-2.62693,202231333,13941404842158,101,2015-12-31 23:59:59
56826.4815872,18.995047,0.06138642,41702040010186,282.180872,33.080957,2,0,7.651355e-07,55,42,42,18.97765,0.0462234,18.99506,18.99506,19.01513,19.01513,0.1089716,0.1089716,21866084010090,282.180894,33.080962,4170,4,56826.4846672,1895,18.977806,20.870222,28.16088,2.15,2.045474,0,12713984,0,1,13941404842158,429698143,7.651355e-07,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,2.974618,12.33285,0.05509733,0.8122126,1.833295,0.05903027,18.98336,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,20.73142,2.974618,12.33285,0.05509733,0.8122126,20.52811,1.833295,0.05903027,18.98336,0.17679565636895,-0.81903601444327,0.5458235089605,3969,0.176796,-0.8190359,0.5458236,21866084,2,10090,4712.2593,243.89824,19.007067,0.059766296,19.884684,0.06579411,19.090076,0.059471346,18.978945,0.06521793,18.97877,0.09800889,19.014389,0.124607466,19.024185,0.12450749,99.99,-4.803089,-7.417419,4167.505,85.82613,1072.0,2345.0,1072.1641,2345.188,4795268605,0,0.419573,0.38534,0.045538,0.6804,0.6012,-54.85175,1e-06,2.5,5.28,0.955545,0.000796,0.000792,5e-06,0.654257,1.093978,1.801075,2.208782,2.415794,60.0,1.2063,0.248113,-0.0276323,0.0246747,19.13374,287.226,-1.74143,202231333,13941404842158,101,2015-12-31 23:59:59
56804.4553972,18.94794,0.038820036,41702040010186,282.180872,33.080957,2,0,7.651355e-07,55,42,42,18.97765,0.0462234,18.99506,18.99506,19.01513,19.01513,0.1089716,0.1089716,22040039013397,282.180888,33.080952,4170,4,56804.4578772,1876,18.957119,21.944246,28.060741,1.65,1.872073,0,12713984,0,1,13941404842158,429698143,7.651355e-07,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,2.974618,12.33285,0.05509733,0.8122126,1.833295,0.05903027,18.98336,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,20.73142,2.974618,12.33285,0.05509733,0.8122126,20.52811,1.833295,0.05903027,18.98336,0.17679565636895,-0.81903601444327,0.5458235089605,3969,0.1767959,-0.819036,0.5458234,22040039,2,13397,4379.742,132.62657,18.947065,0.0396844,19.68896,0.040425863,19.037634,0.03605892,18.969246,0.039031196,18.920494,0.05187191,18.931177,0.06270788,18.919474,0.051729728,99.99,-4.012862,-7.359503,785.9424,39.88462,1065.0,2341.0,1064.6271,2340.644,4787447248,0,0.323623,0.366498,0.009258,0.6156,0.5724,-11.340554,1e-06,2.5,3.96,0.987985,0.000215,0.000217,1e-06,0.680654,0.992953,1.747138,2.138203,2.592142,60.0,1.0104,0.239913,-0.0137731,0.0206278,20.836344,195.802,0.0,202231333,13941404842158,101,2015-12-31 23:59:59
56826.4556872,18.92352,0.04542325,41702040010186,282.180872,33.080957,2,0,7.651355e-07,55,42,42,18.97765,0.0462234,18.99506,18.99506,19.01513,19.01513,0.1089716,0.1089716,21866064012375,282.180877,33.080941,4170,4,56826.4587672,1895,18.901697,21.51894,28.18129,1.95,2.112562,0,12713984,0,1,13941404842158,429698143,7.651355e-07,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,2.974618,12.33285,0.05509733,0.8122126,1.833295,0.05903027,18.98336,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,20.73142,2.974618,12.33285,0.05509733,0.8122126,20.52811,1.833295,0.05903027,18.98336,0.17679565636895,-0.81903601444327,0.5458235089605,3969,0.1767958,-0.8190362,0.5458233,21866064,2,12375,5150.36,180.86421,18.901697,0.04542325,19.890177,0.05143323,19.041162,0.042270225,18.931778,0.044737834,18.813442,0.05720518,18.789564,0.06712188,18.793102,0.06559207,99.99,-4.348693,-7.493897,1576.1458,54.05339,1072.0,2347.0,1071.9952,2346.9563,4794732743,0,0.446524,0.460482,0.046416,0.7164,0.6444,-40.343006,1e-06,2.5,4.62,0.78715,0.00038,0.000379,4e-06,0.695996,1.175489,1.905657,2.405022,2.666604,60.0,1.1156,0.248113,-0.0276323,0.0246747,20.208422,287.57,-1.71369,202231333,13941404842158,101,2015-12-31 23:59:59
56441.4602272,19.16466,0.063827984,41702040010186,282.180872,33.080957,2,0,7.651355e-07,55,42,42,18.97765,0.0462234,18.99506,18.99506,19.01513,19.01513,0.1089716,0.1089716,16207896009369,282.180893,33.080873,4170,4,56441.4627972,1516,19.146845,20.952885,28.125177,2.65,2.836246,0,131072,0,1,13941404842158,429698143,7.651355e-07,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,2.974618,12.33285,0.05509733,0.8122126,1.833295,0.05903027,18.98336,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,20.73142,2.974618,12.33285,0.05509733,0.8122126,20.52811,1.833295,0.05903027,18.98336,0.17679565636895,-0.81903601444327,0.5458235089605,3969,0.1767961,-0.8190367,0.5458223,16207896,2,9369,3902.4126,205.17426,19.16245,0.062210534,20.287403,0.07687981,19.359074,0.062025763,19.18144,0.06390761,18.958261,0.078497306,18.893723,0.09019344,18.976099,0.13108975,99.99,-4.509446,-6.779193,2201.6865,64.489136,1062.0,2337.0,1062.3442,2337.3677,4768293545,0,0.598043,0.674284,-0.038337,0.8424,0.7704,22.660286,1e-06,2.5,6.599999,0.932392,0.001314,0.001323,1e-06,0.83366,1.305962,2.088029,2.417451,2.614947,60.0,1.0205,0.215049,0.00254048,0.0285277,19.78936,300.321,-2.21229,202231333,13941404842145,101,2015-12-31 23:59:59
56823.4461272,19.09931,0.12183398,41702040010186,282.180872,33.080957,2,0,7.651355e-07,55,42,42,18.97765,0.0462234,18.99506,18.99506,19.01513,19.01513,0.1089716,0.1089716,21902789009493,282.180882,33.080961,4170,4,56823.4491472,1892,19.188168,20.846746,28.216274,2.15,2.636091,0,131072,0,1,13941404842158,429698143,7.651355e-07,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,2.974618,12.33285,0.05509733,0.8122126,1.833295,0.05903027,18.98336,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,20.73142,2.974618,12.33285,0.05509733,0.8122126,20.52811,1.833295,0.05903027,18.98336,0.17679565636895,-0.81903601444327,0.5458235089605,3969,0.1767958,-0.8190359,0.5458236,21902789,2,9493,4085.4739,256.48538,19.209492,0.121469766,20.194468,0.12844668,19.302454,0.120598584,19.157299,0.123448,19.045732,0.143055,19.163406,0.17329225,19.114368,0.15653323,99.99,-4.901422,-6.908163,4778.2495,90.9285,1072.0,2346.0,1072.3502,2345.607,4788517394,0,0.503652,0.525108,0.030312,0.7488,0.702,-34.8569,1e-06,2.5,4.62,0.945502,0.001563,0.001557,4e-06,0.783428,1.164807,1.908283,2.17154,2.354205,60.0,1.0713,0.0806619,0.136951,0.100971,19.034294,328.567,-2.99452,202231333,13941404842158,101,2015-12-31 23:59:59
56796.2321272,19.55492,0.14588715,41702040010186,282.180872,33.080957,2,0,7.651355e-07,55,42,42,18.97765,0.0462234,18.99506,18.99506,19.01513,19.01513,0.1089716,0.1089716,22074676006808,282.180969,33.080985,4170,4,56796.2342972,1868,19.519945,20.251207,27.747559,4.35,4.553758,0,131072,0,1,13941404842158,429698143,7.651355e-07,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,2.974618,12.33285,0.05509733,0.8122126,1.833295,0.05903027,18.98336,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,20.73142,2.974618,12.33285,0.05509733,0.8122126,20.52811,1.833295,0.05903027,18.98336,0.17679565636895,-0.81903601444327,0.5458235089605,3969,0.176797,-0.8190355,0.5458239,22074676,2,6808,1954.5432,257.32913,19.871937,0.11790789,21.220085,0.19461043,20.055265,0.12943389,19.773333,0.12289181,19.44878,0.1434398,19.252596,0.14893055,19.129412,0.17679007,99.99,-4.318583,-5.466734,1483.5566,55.86552,1061.0,2313.0,1061.201,2313.5398,4783530544,0,1.298776,1.085527,-0.116332,1.1772,1.0296,66.90999,1e-06,3.715488,6.599999,0.499273,0.010409,0.010331,-4e-05,1.111399,1.7273,2.600953,2.932151,3.120179,60.0,2.2725,0.228573,-0.00673376,0.0289839,19.836897,301.011,0.0,202231333,13941404842841,101,2015-12-31 23:59:59
56796.2459072,18.997345,0.09688116,41702040010186,282.180872,33.080957,2,0,7.651355e-07,55,42,42,18.97765,0.0462234,18.99506,18.99506,19.01513,19.01513,0.1089716,0.1089716,22074688007595,282.180864,33.080944,4170,4,56796.2480672,1868,18.941965,20.518274,27.806686,3.75,4.538879,0,131072,0,1,13941404842158,429698143,7.651355e-07,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,2.974618,12.33285,0.05509733,0.8122126,1.833295,0.05903027,18.98336,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,20.73142,2.974618,12.33285,0.05509733,0.8122126,20.52811,1.833295,0.05903027,18.98336,0.17679565636895,-0.81903601444327,0.5458235089605,3969,0.1767956,-0.8190362,0.5458233,22074688,2,7595,3514.706,299.18335,19.169867,0.078379855,20.863075,0.1312795,19.670027,0.08562753,19.36099,0.08055303,18.964184,0.086597435,18.940039,0.10332063,18.915274,0.12166286,99.99,-4.231696,-5.893584,1360.4716,53.167736,1060.0,2315.0,1060.3785,2315.3975,4783897608,0,1.413199,1.437751,-0.03613,1.224,1.1916,35.510677,2e-06,3.571074,4.62,0.38685,0.004948,0.004982,-6e-06,1.239699,1.943465,3.077085,3.586201,3.790902,60.0,2.0053,0.228573,-0.00673376,0.0289839,19.991585,300.827,0.0,202231333,13941404842158,101,2015-12-31 23:59:59
56827.4453172,19.019728,0.047312625,41702040010186,282.180872,33.080957,2,0,7.651355e-07,55,42,42,18.97765,0.0462234,18.99506,18.99506,19.01513,19.01513,0.1089716,0.1089716,21857345012058,282.180897,33.080954,4170,4,56827.4484172,1896,19.027704,21.60053,28.19138,1.85,1.865968,0,131072,0,1,13941404842158,429698143,7.651355e-07,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,2.974618,12.33285,0.05509733,0.8122126,1.833295,0.05903027,18.98336,2.639751,1.0,0.0001937677,19.55498,11.69767,0.04644108,18.89907,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,17,14,18.94833,18.93539,18.92571,18.91767,18.90949,18.90438,18.90233,18.90197,18.90168,18.90144,18.90124,18.90113,20.73142,2.974618,12.33285,0.05509733,0.8122126,20.52811,1.833295,0.05903027,18.98336,0.17679565636895,-0.81903601444327,0.5458235089605,3969,0.176796,-0.819036,0.5458235,21857345,2,12058,4628.8237,174.17642,19.027704,0.047312625,19.949364,0.05159423,19.12386,0.043033652,19.03898,0.04677644,18.961521,0.06238914,18.945976,0.07435482,18.962555,0.06125063,99.99,-4.298542,-7.474198,1532.1327,53.30318,1073.0,2349.0,1073.0125,2349.2087,4796940340,0,0.37507,0.419599,-0.008118,0.6552,0.6192,10.151725,1e-06,2.5,3.96,0.769243,0.000348,0.000361,-1e-06,0.653996,1.093924,1.720757,2.197783,2.498739,60.0,1.095,0.192158,0.0250902,0.023844,20.248692,274.565,-1.28611,202231333,13941404842158,101,2015-12-31 23:59:59
