oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
684307100005683,48848981,2458242.9913951675,58242.4898148,19.1373234,0.0640451834,0,zi,282.1809113,33.0809158,0.481000006,-0.0610000007,20180504489768,684,7.0,1.0,20.3299999,25.7593231,0.0122269345,0.188034549,1.98282196e-05,30,1.0,2
684307100005683,49227915,2458246.7809234215,58246.2791551,19.0740128,0.0610874556,0,zi,282.1808416,33.0810353,0.933000028,-0.119999997,20180508279132,684,7.0,1.0,19.9500008,25.6920128,0.018247582,0.184498057,4.2213971e-05,30,1.97099996,2
684307100005683,50727929,2458261.781735332,58261.279294,19.1243095,0.0634246022,0,zi,282.1808872,33.0809642,0.342000008,0.0489999987,20180523279282,684,7.0,1.0,20.1000004,25.6573086,0.015751617,0.192379147,3.19097235e-05,30,1.49100006,2
684307100005683,51837503,2458272.8778825765,58272.3750347,19.1496506,0.0646390766,0,zi,282.1809066,33.0809405,0.898000002,-0.116999999,20180603374965,684,7.0,1.0,20.6200008,25.7316494,0.0182506107,0.189349219,4.43843055e-05,30,1.01699996,2
684307100005683,52331035,2458277.8133584,58277.3103588,19.2147713,0.0678774491,0,zi,282.1808625,33.0809556,1.65100002,-0.0320000015,20180608310359,684,7.0,1.0,20.7600002,25.7227707,0.0151438424,0.193406776,2.92355435e-05,30,1.11199999,2
684307100005683,52731034,2458281.813455563,58281.3103472,19.2064857,0.0674558505,0,zi,282.1808984,33.0809588,0.556999981,-0.0769999996,20180612310301,684,7.0,1.0,21.0300007,25.7314854,0.0172036029,0.20096831,3.89815687e-05,30,1.08399999,2
684307100005683,53147040,2458285.97361241,58285.4704051,19.2220879,0.068252027,0,zi,282.1808912,33.0809773,0.634000003,-0.0719999969,20180616470394,684,7.0,1.0,20.7800007,25.7500877,0.0168917608,0.190941557,3.63986037e-05,30,1.13999999,2
684307100005683,53534285,2458289.8461448755,58289.3428588,19.090353,0.0618361607,0,zi,282.1807817,33.0809426,0.65200001,-0.138999999,20180620342674,684,7.0,1.0,20.5300007,25.7393532,0.0145763485,0.194225296,2.64787177e-05,30,1.00600004,2
684307100005683,54134555,2458295.8489375943,58295.3455556,19.1644001,0.0653576255,0,zi,282.1809072,33.0809415,0.495999992,0.00800000038,20180626345509,684,7.0,1.0,20.3799992,25.7364006,0.0156208789,0.194936663,3.19305545e-05,30,1.0,2
684307100005683,54531781,2458299.821240195,58299.3178125,19.235033,0.0689202622,0,zi,282.1808548,33.0809447,1.06700003,-0.0560000017,20180630317627,684,7.0,1.0,20.1100006,25.6890335,0.0142500354,0.194256961,2.69684479e-05,30,1.005,2
684307100005683,56623629,2458320.7397242435,58320.2362963,19.2045765,0.067359142,0,zi,282.1809234,33.0809564,0.885999978,-0.0140000004,20180721236181,684,7.0,1.0,20.4599991,25.703577,0.0194986314,0.203777894,4.80672425e-05,30,1.02600002,2
684307100005683,57131020,2458325.8135753176,58325.3102083,19.3103809,0.0729504451,0,zi,282.1808555,33.0809694,0.601000011,0.0680000037,20180726310197,684,7.0,1.0,20.1100006,25.7103806,0.0175760873,0.195207939,3.98705306e-05,30,1.028,2
684307100005683,57733140,2458331.8346652933,58331.3314005,19.2026367,0.0672609508,0,zi,282.1809101,33.0809411,0.555999994,0.0560000017,20180801331343,684,7.0,1.0,20.4300003,25.6516361,0.018835634,0.210386559,4.63933829e-05,30,1.10099995,2
684307100005683,58415399,2458338.657103869,58338.1539931,19.1481438,0.0645661578,0,zi,282.1808453,33.0810136,0.975000024,-0.202000007,20180808153970,684,7.0,1.0,20.0699997,25.6841431,0.0179985873,0.192761645,4.36397677e-05,30,1.08599997,2
684307100005683,58836710,2458342.870102498,58342.3671065,19.1191254,0.0631792098,0,zi,282.1808057,33.0809353,0.435000002,0.00800000038,20180812367083,684,7.0,1.0,20.3600006,25.6191254,0.0148345614,0.197400004,2.82057044e-05,30,1.39699996,2
684307100005683,59336870,2458347.871544982,58347.3687037,19.1173859,0.0630971193,0,zi,282.1808568,33.0809358,0.305999994,-0.0140000004,20180817368681,684,7.0,1.0,20.5200005,25.5813866,0.0174205415,0.201730832,3.94966009e-05,30,1.51600003,2
684307100005683,59732593,2458351.8286429183,58351.3259375,19.1387291,0.0641125962,0,zi,282.1809081,33.0809594,0.476000011,-0.0700000003,20180821325926,684,7.0,1.0,20.6200008,25.6957283,0.0195887517,0.19340381,4.93385596e-05,30,1.29499996,2
684307100005683,60828635,2458362.788626409,58362.2863542,19.1675911,0.0655142292,0,zi,282.1809081,33.0809421,1.14600003,-0.0839999989,20180901286343,684,7.0,1.0,20.5499992,25.747591,0.0140637616,0.189436153,2.4993371e-05,30,1.24199998,2
