objID,detectID,filterID,obsTime,ra,dec,psfFlux,psfFluxErr,psfQfPerfect,infoFlag,filter,mag,magerr
147692821808927724,163934046020001036,1,55740.3407185,282.18087165,33.08094881,0.0001371719990856,2.569639946159441e-06,0.998757004737854,102760517,g,18.556836330241232,0.020338393463263146
147692821808927724,163935068020000957,1,55740.3509401,282.18085771,33.08094053,0.0001385299983667,2.5614799596951343e-06,0.999144971370697,102760517,g,18.54614042724944,0.020075065509489728
147692821808927724,163936248020001422,2,55740.3627298,282.18087805,33.08093656,0.0001064509997377,1.8002400565819698e-06,0.997972011566162,102760517,r,18.83212563879271,0.018360754095753638
147692821808927724,163937228020001442,2,55740.3725136,282.18088517,33.08094025,0.0001101469970308,2.3683799099671887e-06,0.9976530075073242,102760517,r,18.79506834661737,0.02334471331553742
147692821808927724,165447770130001527,2,55755.4779438,282.18087345,33.08093381,0.0001057030021911,2.4178100375138456e-06,0.999297022819519,102760517,r,18.83978169406558,0.024833886486809776
147692821808927724,165448752130001590,2,55755.4877563,282.18087184,33.08093735,0.0001073840030585,2.31839999287331e-06,0.995926022529602,102760453,r,18.822651026127218,0.023440054389584547
147692821808927724,157160175410002867,4,55672.6019384,282.18093845,33.08092176,5.889889871468768e-05,1.0044000191555824e-05,0.9985949993133544,35651585,z,19.474732063821953,0.18514388631943682
147692821808927724,157161192410002863,4,55672.6121062,282.18085014,33.08093929,7.483940134989098e-05,6.227000085345935e-06,0.9977430105209352,35651585,z,19.214674237840505,0.09033549000549201
147692821808927724,174023140130003219,4,55841.2315829,282.1809036,33.08093602,4.7947800339898095e-05,4.723940037365537e-06,0.6849420070648193,35651585,z,19.698078279479212,0.1069659434261894
147692821808927724,174024290130002827,4,55841.2430846,282.18090314,33.08091458,7.1347902121488e-05,4.328299837652594e-06,0.9582740068435668,35651585,z,19.266546980355677,0.06586367635221811
147692821808927724,171531710130004189,5,55816.3172884,282.18088537,33.08094428,5.840949961566366e-05,6.87811007082928e-06,0.9900590181350708,35651585,y,19.483791285679956,0.12784845193052766
147692821808927724,171532868130004670,5,55816.3288552,282.18090092,33.080941,5.428720032796264e-05,7.088839993230067e-06,0.9991840124130248,35651585,y,19.563256387455425,0.14177105347401
147692821808927724,126057100610000977,1,55361.5712636,282.18088661,33.08093025,0.0001337760040769,2.0881600448774407e-06,0.9943000078201294,102760517,g,18.58405445168934,0.016947100314195402
147692821808927724,126058287610000925,1,55361.5831239,282.18088841,33.0809372,0.0001330100058112,1.953670107468497e-06,0.9992589950561525,102760517,g,18.590289218914222,0.015946917848340868
147692821808927724,126350938730001659,2,55364.5096286,282.18087212,33.0809363,0.0001098599968827,2.0240900084900204e-06,0.9980900287628174,102760517,r,18.797901044094637,0.020003227603983948
147692821808927724,126352072730001586,2,55364.520966,282.18088224,33.08093792,0.0001101450034184,2.68437997874571e-06,0.9958230257034302,102760517,r,18.795087998144947,0.026459950542226364
147692821808927724,126841185470003448,3,55369.4121178,282.18088776,33.08093789,6.313429912552238e-05,2.5823699161264813e-06,0.7398939728736877,102760453,i,19.39933659103611,0.04440817521969004
147692821808927724,126842535470002391,3,55369.4256263,282.18090921,33.08093544,7.567289867438376e-05,3.830080004263436e-06,0.446285992860794,102760453,i,19.202649074814843,0.054951216795881205
147692821808927724,128733160350000952,1,55388.3318649,282.18085949,33.08093543,0.0001394040009472,1.8395400047666044e-06,0.9993109703063964,1176502341,g,18.539311904110868,0.014326623121323098
147692821808927724,128734370350000930,1,55388.3439564,282.18086206,33.08093688,0.0001372609985992,1.8569199937701344e-06,0.9988120198249816,1176502341,g,18.556132114652556,0.01468777043596407
147692821808927724,134825449540002488,4,55449.254673,282.18086872,33.08094779,7.647630263818428e-05,3.3296701076324098e-06,0.9986209869384766,35651585,z,19.191182792110016,0.04726984322136336
147692821808927724,163934173570001116,1,55740.3419931,282.18094883,33.08098288,0.0001369600067846,4.183159944659565e-06,0.6725059747695923,102760453,g,18.558515577883092,0.03316045945485132
147692821808927724,134825929540003410,4,55449.2594725,282.18088589,33.08094037,6.965010106796399e-05,3.449099949648371e-06,0.998130977153778,35651585,z,19.292695622607326,0.05376428401272816
147692821808927724,163935196570001735,1,55740.3522172,282.18094605,33.08113106,8.557020191801712e-05,4.019459993287455e-06,0.5000380277633667,102760453,g,19.069193608037253,0.050998216866347604
147692821808927724,163936371570002585,2,55740.3639514,282.18097306,33.0810998,7.189580355770886e-05,3.1908600703900447e-06,0.4020510017871856,102760453,r,19.25824114486747,0.048185243185184745
147692821808927724,135927407540003852,5,55460.2742533,282.18088887,33.08096671,5.825429980177432e-05,7.1002300501277205e-06,0.8915179967880249,35653633,y,19.486680033640454,0.13232876872015675
147692821808927724,135928567530003234,5,55460.2858522,282.18085376,33.08097649,6.189259875100106e-05,8.327690011356026e-06,0.9953100085258484,35651585,y,19.420903204339023,0.14608165156715128
147692821808927724,126343525200001583,2,55364.4354882,282.18086942,33.0808827,0.0001062230003299,2.1580199245363474e-06,0.9954879879951476,102760517,r,18.834453589613872,0.02205701425108031
147692821808927724,126344686200001377,2,55364.4471013,282.18086263,33.08089274,0.0001091689991881,2.630029939609813e-06,0.9995530247688292,102760517,r,18.804751677727012,0.026155992329969353
147692821808927724,228462388050004798,4,56385.6240686,282.18049864,33.08125004,1.9877799786627293e-05,4.421140147314873e-06,0.6129440069198608,35651585,z,20.65407922004392,0.24147702006582034
147692821808927724,213519795160003246,4,56236.1981342,282.18088275,33.08092655,6.385159940691665e-05,3.0167900604283204e-06,0.9500340223312378,35651585,z,19.387070549255192,0.05129595811271458
147692821808927724,213518719160002099,5,56236.1873748,282.18085529,33.08095143,7.573179755127057e-05,1.269309996132506e-05,0.7808640003204346,35651585,y,19.201804336865813,0.18196978116993623
147692821808927724,213519218160004239,5,56236.1923712,282.18086713,33.0809532,6.841499998699874e-05,7.720510438957717e-06,0.2373690009117126,35651585,y,19.312121671964782,0.1225193040293693
147692821808927724,198940359650001057,1,56090.4038591,282.18086888,33.08093721,0.0001395940053043,1.8775699572870508e-06,0.7257739901542664,102760517,g,18.537833078909003,0.014602902883851554
147692821808927724,198941460650001063,1,56090.4148632,282.18087156,33.08093626,0.0001367090007988,1.7299299770456855e-06,0.998104989528656,102760517,g,18.56050722732283,0.01373856121472718
147692821808927724,198942568650001635,2,56090.4259166,282.18087202,33.0809558,0.0001087280033971,1.8793200524669371e-06,0.9979709982872008,102760517,r,18.809146467416575,0.0187658902694223
147692821808927724,198943552650001637,2,56090.4357561,282.18087719,33.08093578,0.0001112910031224,1.5830599977562088e-06,0.9978049993515016,102760517,r,18.78384985763193,0.015443550613643272
147692821808927724,198554929410002354,3,56086.5495635,282.18087507,33.08096212,8.590530342189595e-05,1.9127999166812515e-06,0.9366610050201416,102760453,i,19.06495005969527,0.024174606069914756
147692821808927724,198556028410002197,3,56086.5605585,282.1808778,33.08094852,8.252479892689735e-05,2.005949909289484e-06,0.9011030197143556,102760453,i,19.108538812905984,0.02639036804494124
147692821808927724,192960524650002977,4,56030.6054228,282.18087516,33.08094586,6.246790144359693e-05,2.565390104791732e-06,0.99822199344635,35651585,z,19.410857708913333,0.04458680334070797
147692821808927724,192961037650002920,4,56030.6105535,282.18087774,33.08093803,6.797580135753378e-05,2.826169975378434e-06,0.9994440078735352,35651585,z,19.31911415967835,0.04513919190344782
147692821808927724,193063686740003707,5,56031.6370414,282.18089302,33.08094599,7.349569932557642e-05,7.63000025472138e-06,0.9980369806289672,35651585,y,19.234345183371705,0.11271259886724037
147692821808927724,193063089740003582,5,56031.6310707,282.18088051,33.08093986,6.299409869825467e-05,6.439669959945604e-06,0.9972689747810364,35653633,y,19.40175033362108,0.1109873753254708
147692821808927724,235456837020000965,1,56455.5686329,282.1808886,33.08093281,0.0001363699993817,2.0733300516440067e-06,0.9991480112075806,102760517,g,18.56320290367173,0.01650666896880525
147692821808927724,235457839020000962,1,56455.5786436,282.18088986,33.08092831,0.0001390130055369,1.967659954971168e-06,0.9983710050582886,102760517,g,18.542361417194115,0.015367543524876421
